Word,Rank,Frequency
the,1,12635
to,2,12163
and,3,11188
of,4,10433
a,5,6816
i,6,6306
her,7,6224
was,8,5596
in,9,5556
it,10,5323
she,11,5099
not,12,4322
be,13,4230
that,14,4073
he,15,3875
had,16,3808
you,17,3799
as,18,3466
for,19,3316
but,20,2991
with,21,2863
his,22,2825
have,23,2728
at,24,2403
is,25,2398
".""",26,2228
very,27,2136
s,28,2121
all,29,2031
so,30,1977
--,31,1947
him,32,1868
could,33,1866
on,34,1784
by,35,1739
been,36,1696
would,37,1690
no,38,1666
mr,39,1587
my,40,1579
which,41,1565
mrs,42,1520
they,43,1494
were,44,1467
from,45,1382
any,46,1243
this,47,1212
me,48,1205
what,49,1177
do,50,1177
them,51,1170
more,52,1147
or,53,1124
will,54,1100
their,55,1097
must,56,1078
there,57,1077
an,58,1060
such,59,1059
said,60,1054
",""",61,1030
one,62,1021
than,63,1018
much,64,981
if,65,980
miss,66,934
every,67,914
when,68,897
your,69,874
emma,70,866
.--,71,852
only,72,847
are,73,835
am,74,835
well,75,804
should,76,793
did,77,761
who,78,753
being,79,743
think,80,742
own,81,736
how,82,732
good,83,722
we,84,720
might,85,707
now,86,705
never,87,702
know,88,696
little,89,695
herself,90,693
elinor,91,685
time,92,670
thing,93,624
some,94,613
can,95,609
nothing,96,584
too,97,570
before,98,567
marianne,99,566
say,100,563
has,101,563
other,102,552
great,103,543
"?""",104,531
soon,105,527
most,106,525
see,107,518
though,108,510
harriet,109,506
anne,110,506
again,111,498
without,112,496
man,113,490
about,114,490
quite,115,487
may,116,483
first,117,482
!--,118,479
always,119,472
out,120,468
after,121,460
two,122,445
ever,123,440
weston,124,440
made,125,433
thought,126,432
lady,127,431
day,128,419
dear,129,415
sure,130,413
shall,131,402
sister,132,397
then,133,393
up,134,392
knightley,135,389
elton,136,385
make,137,380
young,138,379
into,139,376
however,140,375
mother,141,372
indeed,142,365
give,143,364
like,144,364
himself,145,355
father,146,354
house,147,350
come,148,349
long,149,345
better,150,338
sir,151,335
upon,152,329
even,153,328
away,154,328
its,155,327
seemed,156,325
many,157,323
over,158,323
oh,159,319
room,160,318
go,161,318
friend,162,315
woodhouse,163,313
while,164,311
last,165,310
way,166,307
captain,167,306
jane,168,303
enough,169,303
felt,170,299
just,171,299
having,172,297
mind,173,292
moment,174,290
still,175,289
happy,176,289
elliot,177,289
same,178,288
done,179,287
hope,180,284
us,181,283
really,182,282
home,183,282
rather,184,280
here,185,278
came,186,276
cannot,187,273
saw,188,273
;--,189,271
edward,190,268
place,191,267
woman,192,266
wish,193,266
heard,194,263
poor,195,262
?--,196,260
another,197,259
morning,198,257
john,199,256
body,200,253
dashwood,201,252
something,202,252
feelings,203,250
few,204,247
found,205,246
look,206,245
yet,207,245
going,208,244
perhaps,209,243
fairfax,210,241
believe,211,241
family,212,240
present,213,238
colonel,214,237
myself,215,237
till,216,237
our,217,236
love,218,236
heart,219,235
yes,220,234
half,221,234
almost,222,233
jennings,223,230
where,224,229
does,225,228
off,226,225
churchill,227,224
pleasure,228,221
wentworth,229,218
letter,230,218
both,231,218
willoughby,232,216
those,233,216
take,234,215
cried,235,215
frank,236,214
left,237,214
once,238,214
replied,239,212
knew,240,211
certainly,241,210
world,242,210
hear,243,209
down,244,208
together,245,208
party,246,206
feel,247,205
evening,248,202
tell,249,200
kind,250,198
least,251,197
between,252,196
