Word,Rank,Frequency
the,1,2222
and,2,2036
to,3,1515
i,4,1455
of,5,1302
you,6,1124
a,7,1019
my,8,914
that,9,904
in,10,826
it,11,778
is,12,769
not,13,722
d,14,662
his,15,588
with,16,557
this,17,546
for,18,533
me,19,529
your,20,528
but,21,510
he,22,491
be,23,476
what,24,458
haue,25,448
him,26,434
as,27,427
so,28,424
will,29,384
our,30,346
ham,31,337
all,32,321
thou,33,312
we,34,306
are,35,305
s,36,303
shall,37,300
no,38,297
lord,39,293
do,40,287
then,41,278
on,42,276
by,43,256
if,44,243
come,45,232
king,46,231
enter,47,230
they,48,225
good,49,218
let,50,217
now,51,208
thy,52,202
was,53,200
there,54,199
from,55,193
caesar,56,193
at,57,192
which,58,187
did,59,187
or,60,184
vs,61,184
know,62,176
o,63,176
them,64,175
thee,65,174
more,66,174
their,67,171
would,68,170
brutus,69,162
like,70,162
vpon,71,162
when,72,158
how,73,158
bru,74,153
well,75,152
her,76,149
t,77,148
hath,78,144
selfe,79,143
should,80,140
am,81,139
man,82,139
may,83,138
macb,84,137
yet,85,136
heere,86,135
why,87,135
say,88,130
must,89,130
tis,90,129
where,91,128
most,92,128
th,93,125
who,94,124
too,95,122
speake,96,119
make,97,119
loue,98,119
giue,99,118
see,100,116
an,101,115
time,102,115
sir,103,114
night,104,114
such,105,113
one,106,112
out,107,110
st,108,110
cassi,109,107
had,110,107
these,111,106
ile,112,106
doe,113,103
some,114,103
hamlet,115,100
go,116,100
were,117,100
men,118,96
hor,119,95
vp,120,94
mine,121,92
tell,122,91
day,123,90
oh,124,89
heare,125,87
death,126,86
cassius,127,85
much,128,85
feare,129,85
looke,130,82
done,131,81
can,132,80
nor,133,80
thinke,134,78
great,135,76
antony,136,75
exeunt,137,75
take,138,73
againe,139,73
very,140,72
heart,141,71
hand,142,71
thus,143,70
she,144,69
noble,145,68
father,146,67
downe,147,66
life,148,65
could,149,65
heauen,150,64
doth,151,63
macbeth,152,62
qu,153,62
stand,154,61
till,155,61
both,156,61
lady,157,61
art,158,61
laer,159,60
leaue,160,60
blood,161,60
made,162,59
dead,163,59
owne,164,59
1,165,59
macd,166,58
away,167,56
ophe,168,56
hee,169,55
other,170,55
cannot,171,54
friends,172,54
put,173,54
neuer,174,54
ha,175,53
shew,176,53
those,177,53
into,178,53
nothing,179,53
any,180,52
thing,181,52
euery,182,52
comes,183,51
things,184,51
about,185,51
l,186,51
might,187,51
